Match_id,Bowler,Batsman,score,Over_num,AI_Commentary_Final_Dynamic_Target
4281444,Aniket Choudhary,Warner,OUT,1.4,Powerplay fireworks! What a moment! Aniket Choudhary takes the wicket of Warner! He's gone! Brilliant bowling! 
4281444,Binny,Dhawan,FOUR,10.2,"Chasing 178, current score 126. Dhawan hits Binny for four! What a shot! Four runs to the boundary! "
4281444,Binny,Dhawan,OUT,10.3,"Chasing 178, current score 126. What a moment! Binny takes the wicket of Dhawan! He's gone! Brilliant bowling! "
4281444,Aravind,Yuvraj,FOUR,11.5,"Chasing 178, current score 130. Yuvraj hits Aravind for four! What a shot! Four runs to the boundary! "
4281444,Aniket Choudhary,Yuvraj,FOUR,12.1,"Chasing 178, current score 134. Yuvraj hits Aniket Choudhary for four! What a shot! Four runs to the boundary! "
4281444,Aniket Choudhary,Yuvraj,SIX,12.2,"Chasing 178, current score 140. Yuvraj sends Aniket Choudhary's ball into the stands! That's a huge hit! Six runs! "
4281444,Aniket Choudhary,Yuvraj,FOUR,12.3,"Chasing 178, current score 144. Yuvraj hits Aniket Choudhary for four! What a shot! Four runs to the boundary! "
4281444,Aniket Choudhary,Yuvraj,ONE,13.0,"Chasing 178, current score 144. Over 13.0: Yuvraj faces Aniket Choudhary. Outcome: ONE."
4281444,Watson,Yuvraj,FOUR,13.1,"Chasing 178, current score 148. Yuvraj hits Watson for four! What a shot! Four runs to the boundary! "
4281444,Aravind,Henriques,FOUR,14.1,"Chasing 178, current score 152. Henriques hits Aravind for four! What a shot! Four runs to the boundary! "
4281444,Aravind,Yuvraj,SIX,14.3,"Chasing 178, current score 158. Yuvraj sends Aravind's ball into the stands! That's a huge hit! Six runs! "
4281444,Aravind,Henriques,SIX,14.5,"Chasing 178, current score 164. Henriques sends Aravind's ball into the stands! That's a huge hit! Six runs! "
4281444,Chahal,Henriques,OUT,15.2,"Chasing 178, current score 164. What a moment! Chahal takes the wicket of Henriques! He's gone! Brilliant bowling! "
4281444,Chahal,Yuvraj,ONE,15.5,"Chasing 178, current score 164. Over 15.5: Yuvraj faces Chahal. Outcome: ONE."
4281444,Tymal Mills,Yuvraj,FOUR,16.3,End overs drama! Yuvraj hits Tymal Mills for four! What a shot! Four runs to the boundary! 
4281444,Aniket Choudhary,Deepak Hooda,SIX,17.1,End overs drama! Deepak Hooda sends Aniket Choudhary's ball into the stands! That's a huge hit! Six runs! 
4281444,Aniket Choudhary,Yuvraj,FOUR,17.3,Over 17.3: Match already won! Yuvraj faces Aniket Choudhary. (Result beyond target)
4281444,Tymal Mills,Yuvraj,FOUR,18.2,Over 18.1: Match already won! Yuvraj faces Tymal Mills. (Result beyond target)
4281444,Tymal Mills,Yuvraj,SIX,18.3,Over 18.3: Match already won! Yuvraj faces Tymal Mills. (Result beyond target)
4281444,Tymal Mills,Yuvraj,OUT,18.4,Over 18.3: Match already won! Yuvraj faces Tymal Mills. (Result beyond target)
4281444,Watson,Cutting,SIX,19.3,Over 19.3: Match already won! Cutting faces Watson. (Result beyond target)
4281444,Aniket Choudhary,Henriques,FOUR,2.0,Over 2.0: Match already won! Henriques faces Aniket Choudhary. (Result beyond target)
4281444,Watson,Cutting,SIX,20.0,Over 20.0: Match already won! Cutting faces Watson. (Result beyond target)
4281444,Chahal,Henriques,ONE,3.5,Over 3.5: Match already won! Henriques faces Chahal. (Result beyond target)
4281444,Aravind,Henriques,FOUR,4.5,Over 4.5: Match already won! Henriques faces Aravind. (Result beyond target)
4281444,Watson,Dhawan,FOUR,5.1,Over 5.0: Match already won! Dhawan faces Watson. (Result beyond target)
4281444,Watson,Dhawan,FOUR,5.2,Over 5.2: Match already won! Dhawan faces Watson. (Result beyond target)
4281444,Watson,Dhawan,FOUR,5.4,Over 5.4: Match already won! Dhawan faces Watson. (Result beyond target)
4281444,Watson,Dhawan,FOUR,5.5,Over 5.5: Match already won! Dhawan faces Watson. (Result beyond target)
4281444,Head,Henriques,SIX,7.4,Over 7.4: Match already won! Henriques faces Head. (Result beyond target)
7898444,Dinda,Parthiv Patel,FOUR,0.4,Powerplay fireworks! Parthiv Patel hits Dinda for four! What a shot! Four runs to the boundary! 
7898444,Chahar,Buttler,FOUR,1.1,Powerplay fireworks! Buttler hits Chahar for four! What a shot! Four runs to the boundary! 
7898444,Chahar,Buttler,FOUR,1.3,Powerplay fireworks! Buttler hits Chahar for four! What a shot! Four runs to the boundary! 
7898444,Zampa,Nitish Rana,FOUR,10.5,"Chasing 191, current score 16. Nitish Rana hits Zampa for four! What a shot! Four runs to the boundary! "
7898444,R Bhatia,Rayudu,OUT,11.1,"Chasing 191, current score 16. What a moment! R Bhatia takes the wicket of Rayudu! He's gone! Brilliant bowling! "
7898444,Stokes,Nitish Rana,SIX,12.1,"Chasing 191, current score 22. Nitish Rana sends Stokes's ball into the stands! That's a huge hit! Six runs! "
7898444,R Bhatia,Krunal Pandya,OUT,13.2,"Chasing 191, current score 22. What a moment! R Bhatia takes the wicket of Krunal Pandya! He's gone! Brilliant bowling! "
7898444,Tahir,Pollard,FOUR,14.1,"Chasing 191, current score 26. Pollard hits Tahir for four! What a shot! Four runs to the boundary! "
7898444,Zampa,Pollard,FOUR,15.1,"Chasing 191, current score 30. Pollard hits Zampa for four! What a shot! Four runs to the boundary! "
7898444,Zampa,Nitish Rana,OUT,15.3,"Chasing 191, current score 30. What a moment! Zampa takes the wicket of Nitish Rana! He's gone! Brilliant bowling! "
7898444,Tahir,Pollard,SIX,16.5,End overs drama! Pollard sends Tahir's ball into the stands! That's a huge hit! Six runs! 
7898444,Dinda,Pollard,NO RUN,17.3,End overs drama! Over 17.3: Pollard faces Dinda. Outcome: NO RUN.
7898444,Dinda,Pollard,FOUR,18.0,End overs drama! Pollard hits Dinda for four! What a shot! Four runs to the boundary! 
7898444,Stokes,Pollard,OUT,18.2,End overs drama! What a moment! Stokes takes the wicket of Pollard! He's gone! Brilliant bowling! 
7898444,Stokes,Southee,SIX,19.0,End overs drama! Southee sends Stokes's ball into the stands! That's a huge hit! Six runs! 
7898444,Dinda,Hardik Pandya,SIX,19.1,End overs drama! Hardik Pandya sends Dinda's ball into the stands! That's a huge hit! Six runs! 
7898444,Dinda,Hardik Pandya,SIX,19.2,End overs drama! Hardik Pandya sends Dinda's ball into the stands! That's a huge hit! Six runs! 
7898444,Dinda,Hardik Pandya,SIX,19.3,End overs drama! Hardik Pandya sends Dinda's ball into the stands! That's a huge hit! Six runs! 
7898444,Dinda,Hardik Pandya,FOUR,19.4,End overs drama! Hardik Pandya hits Dinda for four! What a shot! Four runs to the boundary! 
7898444,Dinda,Hardik Pandya,SIX,19.5,End overs drama! Hardik Pandya sends Dinda's ball into the stands! That's a huge hit! Six runs! 
7898444,Dinda,Parthiv Patel,FOUR,2.2,Powerplay fireworks! Parthiv Patel hits Dinda for four! What a shot! Four runs to the boundary! 
7898444,Dinda,Parthiv Patel,FOUR,2.5,Powerplay fireworks! Parthiv Patel hits Dinda for four! What a shot! Four runs to the boundary! 
7898444,Dinda,Hardik Pandya,WIDE,20.0,End overs drama! WIDE! Extra run added.
7898444,Dinda,Parthiv Patel,ONE,3.0,Powerplay fireworks! Over 3.0: Parthiv Patel faces Dinda. Outcome: ONE.
7898444,Stokes,Buttler,SIX,3.4,Powerplay fireworks! Buttler sends Stokes's ball into the stands! That's a huge hit! Six runs! 
7898444,Stokes,Buttler,SIX,3.5,Powerplay fireworks! Buttler sends Stokes's ball into the stands! That's a huge hit! Six runs! 
7898444,Tahir,Parthiv Patel,FOUR,4.1,Powerplay fireworks! Parthiv Patel hits Tahir for four! What a shot! Four runs to the boundary! 
7898444,Tahir,Parthiv Patel,OUT,4.2,Powerplay fireworks! What a moment! Tahir takes the wicket of Parthiv Patel! He's gone! Brilliant bowling! 
7898444,Chahar,Buttler,FOUR,5.4,Powerplay fireworks! Buttler hits Chahar for four! What a shot! Four runs to the boundary! 
7898444,Chahar,Buttler,SIX,5.5,Powerplay fireworks! Buttler sends Chahar's ball into the stands! That's a huge hit! Six runs! 
7898444,Tahir,Rohit,OUT,6.3,"Chasing 191, current score 108. What a moment! Tahir takes the wicket of Rohit! He's gone! Brilliant bowling! "
7898444,Tahir,Buttler,OUT,6.5,"Chasing 191, current score 108. What a moment! Tahir takes the wicket of Buttler! He's gone! Brilliant bowling! "
7898444,Stokes,Rayudu,ONE,7.1,"Chasing 191, current score 108. Over 7.0: Rayudu faces Stokes. Outcome: ONE."
7898444,Zampa,Nitish Rana,SIX,8.3,"Chasing 191, current score 114. Nitish Rana sends Zampa's ball into the stands! That's a huge hit! Six runs! "
7898444,Southee,Mayank Agarwal,FOUR,0.2,Powerplay fireworks! Mayank Agarwal hits Southee for four! What a shot! Four runs to the boundary! 
7898444,Hardik Pandya,Rahane,FOUR,1.1,Powerplay fireworks! Rahane hits Hardik Pandya for four! What a shot! Four runs to the boundary! 
7898444,Hardik Pandya,Rahane,FOUR,1.2,Powerplay fireworks! Rahane hits Hardik Pandya for four! What a shot! Four runs to the boundary! 
7898444,Hardik Pandya,Rahane,FOUR,1.5,Powerplay fireworks! Rahane hits Hardik Pandya for four! What a shot! Four runs to the boundary! 
7898444,Southee,Rahane,OUT,10.1,"Chasing 191, current score 130. What a moment! Southee takes the wicket of Rahane! He's gone! Brilliant bowling! "
7898444,Bumrah,Stokes,FOUR,11.4,"Chasing 191, current score 134. Stokes hits Bumrah for four! What a shot! Four runs to the boundary! "
7898444,McClenaghan,Smith,FOUR,12.3,"Chasing 191, current score 138. Smith hits McClenaghan for four! What a shot! Four runs to the boundary! "
7898444,McClenaghan,Smith,FOUR,12.5,"Chasing 191, current score 142. Smith hits McClenaghan for four! What a shot! Four runs to the boundary! "
7898444,McClenaghan,Smith,ONE,13.0,"Chasing 191, current score 142. Over 13.0: Smith faces McClenaghan. Outcome: ONE."
7898444,Pollard,Smith,FOUR,13.1,"Chasing 191, current score 146. Smith hits Pollard for four! What a shot! Four runs to the boundary! "
7898444,Pollard,Smith,SIX,13.4,"Chasing 191, current score 152. Smith sends Pollard's ball into the stands! That's a huge hit! Six runs! "
7898444,Southee,Stokes,FOUR,14.1,"Chasing 191, current score 156. Stokes hits Southee for four! What a shot! Four runs to the boundary! "
7898444,Southee,Smith,TWO,14.3,"Chasing 191, current score 156. Over 14.3: Smith faces Southee. Outcome: TWO."
7898444,Hardik Pandya,Stokes,FOUR,15.1,"Chasing 191, current score 160. Stokes hits Hardik Pandya for four! What a shot! Four runs to the boundary! "
7898444,Hardik Pandya,Stokes,OUT,15.2,"Chasing 191, current score 160. What a moment! Hardik Pandya takes the wicket of Stokes! He's gone! Brilliant bowling! "
7898444,Bumrah,Smith,FOUR,17.0,End overs drama! Smith hits Bumrah for four! What a shot! Four runs to the boundary! 
7898444,McClenaghan,Smith,FOUR,18.0,End overs drama! Smith hits McClenaghan for four! What a shot! Four runs to the boundary! 
7898444,Bumrah,Dhoni,FOUR,18.5,End overs drama! Dhoni hits Bumrah for four! What a shot! Four runs to the boundary! 
7898444,Bumrah,Dhoni,ONE,19.0,End overs drama! Over 19.0: Dhoni faces Bumrah. Outcome: ONE.
7898444,Pollard,Smith,SIX,19.4,End overs drama! Smith sends Pollard's ball into the stands! That's a huge hit! Six runs! 
7898444,Pollard,Smith,SIX,19.5,End overs drama! Smith sends Pollard's ball into the stands! That's a huge hit! Six runs! 
7898444,Southee,Rahane,SIX,2.3,Powerplay fireworks! Rahane sends Southee's ball into the stands! That's a huge hit! Six runs! 
7898444,Southee,Rahane,FOUR,2.4,Over 2.3: Match already won! Rahane faces Southee. (Result beyond target)
7898444,McClenaghan,Mayank Agarwal,OUT,3.1,Over 3.1: Match already won! Mayank Agarwal faces McClenaghan. (Result beyond target)
7898444,McClenaghan,Smith,FOUR,5.1,Over 5.0: Match already won! Smith faces McClenaghan. (Result beyond target)
7898444,McClenaghan,Rahane,SIX,5.3,Over 5.2: Match already won! Rahane faces McClenaghan. (Result beyond target)
7898444,McClenaghan,Rahane,FOUR,5.4,Over 5.4: Match already won! Rahane faces McClenaghan. (Result beyond target)
7898444,Krunal Pandya,Smith,FOUR,7.3,Over 7.2: Match already won! Smith faces Krunal Pandya. (Result beyond target)
7898444,Hardik Pandya,Rahane,FOUR,8.2,Over 8.1: Match already won! Rahane faces Hardik Pandya. (Result beyond target)
7898444,Krunal Pandya,Rahane,SIX,9.2,Over 9.1: Match already won! Rahane faces Krunal Pandya. (Result beyond target)
2373690,Boult,Roy,FOUR,0.2,Powerplay fireworks! Roy hits Boult for four! What a shot! Four runs to the boundary! 
2373690,Boult,Roy,FOUR,0.5,Powerplay fireworks! Roy hits Boult for four! What a shot! Four runs to the boundary! 
2373690,Chawla,Roy,FOUR,1.3,Powerplay fireworks! Roy hits Chawla for four! What a shot! Four runs to the boundary! 
2373690,Kuldeep Yadav,Finch,OUT,10.2,"Chasing 168, current score 12. What a moment! Kuldeep Yadav takes the wicket of Finch! He's gone! Brilliant bowling! "
2373690,Boult,Raina,FOUR,11.5,"Chasing 168, current score 16. Raina hits Boult for four! What a shot! Four runs to the boundary! "
2373690,Narine,Karthik,FOUR,12.2,"Chasing 168, current score 20. Karthik hits Narine for four! What a shot! Four runs to the boundary! "
2373690,Chawla,Raina,TWO,13.3,"Chasing 168, current score 20. Over 13.3: Raina faces Chawla. Outcome: TWO."
2373690,Narine,Karthik,FOUR,14.4,"Chasing 168, current score 24. Karthik hits Narine for four! What a shot! Four runs to the boundary! "
2373690,Kuldeep Yadav,Raina,TWO,15.4,"Chasing 168, current score 24. Over 15.4: Raina faces Kuldeep Yadav. Outcome: TWO."
2373690,Chawla,Raina,ONE,16.1,End overs drama! Over 16.1: Raina faces Chawla. Outcome: ONE.
2373690,Chawla,Raina,ONE,16.3,End overs drama! Over 16.3: Raina faces Chawla. Outcome: ONE.
2373690,Chawla,Karthik,SIX,17.0,End overs drama! Karthik sends Chawla's ball into the stands! That's a huge hit! Six runs! 
2373690,Boult,Raina,ONE,17.1,End overs drama! Over 17.1: Raina faces Boult. Outcome: ONE.
2373690,Boult,Raina,FOUR,17.4,End overs drama! Raina hits Boult for four! What a shot! Four runs to the boundary! 
2373690,Boult,Karthik,FOUR,18.0,End overs drama! Karthik hits Boult for four! What a shot! Four runs to the boundary! 
2373690,Woakes,Raina,ONE,18.2,End overs drama! Over 18.1: Raina faces Woakes. Outcome: ONE.
2373690,Woakes,Karthik,SIX,18.3,End overs drama! Karthik sends Woakes's ball into the stands! That's a huge hit! Six runs! 
2373690,Woakes,Karthik,FOUR,18.4,End overs drama! Karthik hits Woakes for four! What a shot! Four runs to the boundary! 
2373690,Woakes,Raina,FOUR,19.0,End overs drama! Raina hits Woakes for four! What a shot! Four runs to the boundary! 
2373690,Boult,Karthik,FOUR,19.3,End overs drama! Karthik hits Boult for four! What a shot! Four runs to the boundary! 
2373690,Boult,Karthik,FOUR,19.4,End overs drama! Karthik hits Boult for four! What a shot! Four runs to the boundary! 
2373690,Boult,Karthik,OUT,19.5,End overs drama! What a moment! Boult takes the wicket of Karthik! He's gone! Brilliant bowling! 
2373690,Narine,Brendon McCullum,FOUR,2.2,Powerplay fireworks! Brendon McCullum hits Narine for four! What a shot! Four runs to the boundary! 
2373690,Boult,Raina,FOUR,20.0,End overs drama! Raina hits Boult for four! What a shot! Four runs to the boundary! 
2373690,Chawla,Roy,OUT,3.1,Powerplay fireworks! What a moment! Chawla takes the wicket of Roy! He's gone! Brilliant bowling! 
2373690,Chawla,Brendon McCullum,SIX,3.4,Powerplay fireworks! Brendon McCullum sends Chawla's ball into the stands! That's a huge hit! Six runs! 
2373690,Narine,Brendon McCullum,FOUR,4.3,Powerplay fireworks! Brendon McCullum hits Narine for four! What a shot! Four runs to the boundary! 
2373690,Narine,Brendon McCullum,FOUR,4.5,Powerplay fireworks! Brendon McCullum hits Narine for four! What a shot! Four runs to the boundary! 
2373690,Woakes,Raina,FOUR,5.1,Powerplay fireworks! Raina hits Woakes for four! What a shot! Four runs to the boundary! 
2373690,Woakes,Raina,FOUR,5.3,Powerplay fireworks! Raina hits Woakes for four! What a shot! Four runs to the boundary! 
2373690,Woakes,Raina,TWO,5.5,Powerplay fireworks! Over 5.5: Raina faces Woakes. Outcome: TWO.
2373690,Kuldeep Yadav,Brendon McCullum,FOUR,6.5,"Chasing 168, current score 94. Brendon McCullum hits Kuldeep Yadav for four! What a shot! Four runs to the boundary! "
2373690,Kuldeep Yadav,Brendon McCullum,SIX,7.0,"Chasing 168, current score 100. Brendon McCullum sends Kuldeep Yadav's ball into the stands! That's a huge hit! Six runs! "
2373690,Woakes,Raina,FOUR,8.0,"Chasing 168, current score 104. Raina hits Woakes for four! What a shot! Four runs to the boundary! "
2373690,Kuldeep Yadav,Brendon McCullum,OUT,8.1,"Chasing 168, current score 104. What a moment! Kuldeep Yadav takes the wicket of Brendon McCullum! He's gone! Brilliant bowling! "
2373690,Y Pathan,Finch,SIX,9.2,"Chasing 168, current score 110. Finch sends Y Pathan's ball into the stands! That's a huge hit! Six runs! "
2373690,Y Pathan,Finch,SIX,9.3,"Chasing 168, current score 116. Finch sends Y Pathan's ball into the stands! That's a huge hit! Six runs! "
2373690,P Kumar,Chris Lynn,FOUR,1.0,Powerplay fireworks! Chris Lynn hits P Kumar for four! What a shot! Four runs to the boundary! 
2373690,D Kulkarni,Chris Lynn,SIX,1.2,Powerplay fireworks! Chris Lynn sends D Kulkarni's ball into the stands! That's a huge hit! Six runs! 
2373690,D Kulkarni,Gambhir,FOUR,1.4,Powerplay fireworks! Gambhir hits D Kulkarni for four! What a shot! Four runs to the boundary! 
2373690,Shadab Jakati,Gambhir,ONE,10.0,"Chasing 168, current score 130. Over 10.0: Gambhir faces Shadab Jakati. Outcome: ONE."
2373690,Gony,Gambhir,FOUR,10.3,"Chasing 168, current score 134. Gambhir hits Gony for four! What a shot! Four runs to the boundary! "
2373690,Gony,Gambhir,FOUR,10.5,"Chasing 168, current score 138. Gambhir hits Gony for four! What a shot! Four runs to the boundary! "
2373690,Gony,Gambhir,FOUR,11.0,"Chasing 168, current score 142. Gambhir hits Gony for four! What a shot! Four runs to the boundary! "
2373690,Shadab Jakati,Gambhir,FOUR,11.2,"Chasing 168, current score 146. Gambhir hits Shadab Jakati for four! What a shot! Four runs to the boundary! "
2373690,P Kumar,Gambhir,ONE,12.3,"Chasing 168, current score 146. Over 12.3: Gambhir faces P Kumar. Outcome: ONE."
2373690,Shivil,Chris Lynn,SIX,13.1,"Chasing 168, current score 152. Chris Lynn sends Shivil's ball into the stands! That's a huge hit! Six runs! "
2373690,D Kulkarni,Chris Lynn,SIX,14.1,"Chasing 168, current score 158. Chris Lynn sends D Kulkarni's ball into the stands! That's a huge hit! Six runs! "
2373690,D Kulkarni,Chris Lynn,FOUR,14.2,"Chasing 168, current score 162. Chris Lynn hits D Kulkarni for four! What a shot! Four runs to the boundary! "
2373690,D Kulkarni,Chris Lynn,SIX,14.3,Over 14.3: Match already won! Chris Lynn faces D Kulkarni. (Result beyond target)
2373690,Gony,Gambhir,FOUR,2.1,Over 2.1: Match already won! Gambhir faces Gony. (Result beyond target)
2373690,Gony,Chris Lynn,FOUR,2.3,Over 2.2: Match already won! Chris Lynn faces Gony. (Result beyond target)
2373690,Gony,Chris Lynn,SIX,2.4,Over 2.3: Match already won! Chris Lynn faces Gony. (Result beyond target)
2373690,Shivil,Gambhir,FOUR,3.1,Over 3.1: Match already won! Gambhir faces Shivil. (Result beyond target)
2373690,Shivil,Chris Lynn,FOUR,4.0,Over 4.0: Match already won! Chris Lynn faces Shivil. (Result beyond target)
2373690,D Kulkarni,Gambhir,FOUR,4.5,Over 4.5: Match already won! Gambhir faces D Kulkarni. (Result beyond target)
2373690,Shivil,Gambhir,FOUR,5.1,Over 5.0: Match already won! Gambhir faces Shivil. (Result beyond target)
2373690,Shivil,Gambhir,FOUR,5.2,Over 5.2: Match already won! Gambhir faces Shivil. (Result beyond target)
2373690,Shivil,Gambhir,FOUR,5.4,Over 5.4: Match already won! Gambhir faces Shivil. (Result beyond target)
2373690,Shivil,Gambhir,FOUR,5.5,Over 5.5: Match already won! Gambhir faces Shivil. (Result beyond target)
2373690,Shivil,Gambhir,FOUR,6.0,Over 6.0: Match already won! Gambhir faces Shivil. (Result beyond target)
2373690,Dwayne Smith,Chris Lynn,SIX,6.1,Over 6.0: Match already won! Chris Lynn faces Dwayne Smith. (Result beyond target)
2373690,Dwayne Smith,Chris Lynn,FOUR,6.2,Over 6.2: Match already won! Chris Lynn faces Dwayne Smith. (Result beyond target)
2373690,Dwayne Smith,Chris Lynn,SIX,6.4,Over 6.4: Match already won! Chris Lynn faces Dwayne Smith. (Result beyond target)
2373690,Dwayne Smith,Chris Lynn,SIX,6.5,Over 6.5: Match already won! Chris Lynn faces Dwayne Smith. (Result beyond target)
2373690,Dwayne Smith,Chris Lynn,ONE,7.0,Over 7.0: Match already won! Chris Lynn faces Dwayne Smith. (Result beyond target)
2373690,Shadab Jakati,Gambhir,TWO,7.4,Over 7.4: Match already won! Gambhir faces Shadab Jakati. (Result beyond target)
2373690,Shivil,Chris Lynn,FOUR,8.1,Over 8.0: Match already won! Chris Lynn faces Shivil. (Result beyond target)
2837493,Dinda,Amla,FOUR,0.3,Powerplay fireworks! Amla hits Dinda for four! What a shot! Four runs to the boundary! 
2837493,Christian,Vohra,FOUR,1.2,Powerplay fireworks! Vohra hits Christian for four! What a shot! Four runs to the boundary! 
2837493,Rahul Chahar,Axar,SIX,10.2,"Chasing 154, current score 14. Axar sends Rahul Chahar's ball into the stands! That's a huge hit! Six runs! "
2837493,Rahul Chahar,Amla,OUT,10.4,"Chasing 154, current score 14. What a moment! Rahul Chahar takes the wicket of Amla! He's gone! Brilliant bowling! "
2837493,Tahir,Axar,OUT,11.1,"Chasing 154, current score 14. What a moment! Tahir takes the wicket of Axar! He's gone! Brilliant bowling! "
2837493,Rahul Chahar,Maxwell,SIX,12.1,"Chasing 154, current score 20. Maxwell sends Rahul Chahar's ball into the stands! That's a huge hit! Six runs! "
2837493,R Bhatia,Maxwell,FOUR,13.2,"Chasing 154, current score 24. Maxwell hits R Bhatia for four! What a shot! Four runs to the boundary! "
2837493,R Bhatia,Miller,SIX,13.5,"Chasing 154, current score 30. Miller sends R Bhatia's ball into the stands! That's a huge hit! Six runs! "
2837493,Stokes,Maxwell,FOUR,14.2,"Chasing 154, current score 34. Maxwell hits Stokes for four! What a shot! Four runs to the boundary! "
